,Provincias,Ramas de actividad,Magnitud,periodo,Total
94,47 Valladolid,TOTAL PERSONAS,Empleo total (miles de personas),2021,"235,0"
95,47 Valladolid,TOTAL PERSONAS,Empleo total (miles de personas),2019,"244,9"
96,49 Zamora,TOTAL PERSONAS,Empleo total (miles de personas),2021,"60,6"
97,49 Zamora,TOTAL PERSONAS,Empleo total (miles de personas),2019,"62,6"
98,50 Zaragoza,TOTAL PERSONAS,Empleo total (miles de personas),2021,"444,9"
99,50 Zaragoza,TOTAL PERSONAS,Empleo total (miles de personas),2019,"460,2"
100,51 Ceuta,TOTAL PERSONAS,Empleo total (miles de personas),2021,"31,7"
101,51 Ceuta,TOTAL PERSONAS,Empleo total (miles de personas),2019,"31,5"
102,52 Melilla,TOTAL PERSONAS,Empleo total (miles de personas),2021,"31,0"
103,52 Melilla,TOTAL PERSONAS,Empleo total (miles de personas),2019,"30,4"
