,Provincias,Ramas de actividad,periodo,Total
169,31 Navarra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,20873397
170,32 Ourense,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,7104228
171,32 Ourense,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,7100820
172,34 Palencia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,4303764
173,34 Palencia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,4410268
174,"35 Palmas, Las",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,22056871
175,"35 Palmas, Las",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,24214216
176,36 Pontevedra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,21988329
177,36 Pontevedra,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,21637314
178,"26 Rioja, La",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,8619779
179,"26 Rioja, La",PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,8822400
180,37 Salamanca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,7289859
181,37 Salamanca,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,7202099
182,38 Santa Cruz de Tenerife,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,20786249
183,38 Santa Cruz de Tenerife,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,22968344
184,40 Segovia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,3460982
185,40 Segovia,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,3500825
186,41 Sevilla,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,40657710
187,41 Sevilla,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,40538496
188,42 Soria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,2531565
189,42 Soria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,2524615
190,43 Tarragona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,24421364
191,43 Tarragona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,24643977
192,44 Teruel,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,3460089
193,44 Teruel,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,3394776
194,45 Toledo,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,13258842
195,45 Toledo,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,13173524
196,46 Valencia/València,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,61410589
197,46 Valencia/València,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2019,62157518
